timestamp,user,coordinate,pixel_color
2023-07-21 00:14:35.521 UTC,froT/0sG9jU8nl7jDUK645E9q580TbQ4Y1tDp88Nbhca+dslOces5rTGgCLA4DWl+XR9/S6XmUNEhZTKJdi5DQ==,"-234,120",#FFFFFF
2023-07-21 00:14:35.521 UTC,AR+1RzcF2jhzAwiw2eAXkWSrJ/izX/jRduVyAaNxlbMKfgAbRJ0dBmVSAdGOGZvZYGYBfSu8oc3t4Q/EtTSllw==,"144,-209",#3690EA
2023-07-21 00:14:35.521 UTC,0Kx6tt0qNHsRA0ntsEkCOFReT732CF9X0K1ZINkw8hVHCwzAXaSZLbONa8XmSo+RyXzhiGvxmMOmKfnoi3k46Q==,"95,274",#3690EA
2023-07-21 00:14:35.521 UTC,ag3zzREA/h2kXvudSlb6BHbZEj5QXQe3FfG/l2Gg/up9rIGrikwnzoiGbMvRkZCXfpjppAXPtL4nyaasMWuCTQ==,"120,443",#000000
2023-07-21 00:14:35.523 UTC,vW8VL37/Pl5174hgw9FYFRFd4FaDH9mkXQWlUBlneqbV9UGWGihyLjFbE7uZ6auChBz8HeKeXlKe2XHDoqe+VA==,"125,281",#000000
2023-07-21 00:14:35.523 UTC,IONN0LfAEIkl9E4EZageUocwV1Td7HG0J3Iaz+a48vjIgaKkhTNQVJMWCBOV3bi/YvJi6rUW+VKjJKn1YDh2Ag==,"83,-156",#3690EA
2023-07-21 00:14:35.526 UTC,0A7xdngHPB9awlYsPEP+BSbfZhK9ZvEye9PH7JzuH6gs/fIiEqoaoJKV1jyVzMghCxWR/58q0cu8x7hX/zcCcQ==,"-245,-26",#000000
2023-07-21 00:14:35.526 UTC,lFeeW8rrUvW9t3mo/BMiKxvtAW+H02GXqVFzqn/T5oCc6q4HXsrOQc/Pk6aiUtCZuZU00I5qhskXl7lw+mYAqQ==,"209,-88",#000000
2023-07-21 00:14:35.526 UTC,CC9Oz/lIlBBflOr9DtDWxoJea0Oa2QBWxVlUoSWUvS/bdS83iwZR0ZWOJfODMEIK24MaYneagXWapnIesywn8w==,"196,-17",#FFD635
2023-07-21 00:14:35.526 UTC,v1xxt/KVVCw9PFrSqy7l2kCEPmGpxqjNA1oVWLBi+EIXV2MlUuP+nk4IHUqrfgUIiWtTa3ZG45pICgWYUmyJrg==,"-342,426",#FF4500
2023-07-21 00:14:35.526 UTC,X6SmCb/kb1X2XrpEoKOVaCuMd+3rRh2Yv31Rx5rPow7AC8qtJBDXKHgz6a8/aAW/+hq1U+YSmbDAU++4avHj6Q==,"-144,234",#FFFFFF
2023-07-21 00:14:35.527 UTC,N8nHBfkABxjcCZFoSalGsI8AtyAbfIgQ8NtWz7VIwb0WxJqZVME05on8qIYkcKIpez0ZmSzaNgdth7TnIKgB3A==,"-179,-273",#000000
2023-07-21 00:14:35.531 UTC,3IM9O/VXV1Hpw2VG7T4d3yOoRY8wyERulcC6N5tUFHPJs10k8MOibKTVIBzsQSbWlc9WZjJW/NL5AuQaGO0H4w==,"103,193",#000000
2023-07-21 00:14:35.531 UTC,IFCW3AAE6o2FCLob9k+wNlT7sHc5L+e1beWwCvnQJs1WRU3o/Xd06zPvOLuSE9E7x9YKAzcoxu70yzf4NIXRjQ==,"315,184",#00A368
2023-07-21 00:14:35.537 UTC,PHiGTDI63BEcqa/Gkmuu5T2qkTKHkRvuLgO07OeDQ8jVR7QEm+aAt6WcERwI0ChtNLIjGqNmhCrcYl1VvP8i0Q==,"78,149",#000000
2023-07-21 00:14:35.54 UTC,eyUX8KSMqFSt9vZ37qViraMONYwEKrWoSetu7BlADaXWdZbCyIiIbCuM2z0K5sI94e5msF+eVafjc5kfWnxpsA==,"-487,413",#FFA800
