timestamp,user,coordinate,pixel_color
2023-07-20 13:00:26.088 UTC,no+8HEIDjbdx7/LxH9Xr+h4lyoar0MRTYugWKrGdQOg7dFg0rU9STehlIqsje1kc48U/BQqB/0J8sHQzXJBDFA==,"-199,-235",#FFFFFF
2023-07-20 13:00:43.658 UTC,qJ7O6cuUNfkDyn+ZOEYR+UiVEmAu/vYfm/s4hK0XJytqAxyZqXvq14/picpitWbtaq8gyuluh+K4Uby1aquGRA==,"0,-298",#FF4500
2023-07-20 13:00:43.705 UTC,uqi5XwkBePwcPKJgGOxHKzzzXuZKU6iKZT+OVfUJfaRKekm7aWbMpsoNFoJIWvyYG0rShM3M6kOYH63r3mfcug==,"-42,-218",#FFFFFF
2023-07-20 13:01:02.487 UTC,rgSTj7FHZUHsLXZLLNj9+vxibHIowb2+UhfFLDYgsVBXqI/bNOfo+aBKIaQvWJWJ8+dhUV37WfKoAb3aUpGt/Q==,"-418,-232",#B44AC0
2023-07-20 13:01:40.445 UTC,2bmivBNj8NYvnp/15k0EqC+75T1OxTtCUcRG2pf0c5btzFw5klmXjPVMkQK403OhQX8SwL3E1HZ0h1CWCWP+hw==,"182,164",#FF4500
2023-07-20 13:01:51.457 UTC,iyPavVpo8ojDYs4NBNrbOVyIgUkpXSWt/JfghV8JdbgQlN0Fkdx/R6MvltC03E+1JenzhNuh9t8nULmSFqwmVQ==,"-113,-1",#FFFFFF
2023-07-20 13:01:52.149 UTC,a6Q+OsCSRDcPxhxYtOsWmY1eROZ5FGYODL3sN5AWaIrPPH/nba0dvtbBcRp4yRr8yRazx96fK472L390bfYkRA==,"-64,-34",#3690EA
2023-07-20 13:01:57.333 UTC,AS0KN9rxoynWuNZWvX3Aaqv9UwZFkLhqbY+yTYHqegiV1HTE2NTuscRZkZKsj/Xk8MCum5xptf1PXw1PWWqmDQ==,"-267,-142",#FFFFFF
2023-07-20 13:02:14.26 UTC,aWwqNqt6YdlvnygRgoEovZgf0GgBepj658vMiYef/ZlMdep/0UklJbXF9WzAZAlsdMeW6SBduscamaOjDIm2QA==,"-43,52",#00A368
2023-07-20 13:03:42.173 UTC,vFCy3asEWbBER9NYcILtUCB+KYxRWIGMaO92JTha0185vZb/n8jKzkjdomCu6+UXXXsTgckeGIouNG3mivHaqg==,"-43,74",#000000
2023-07-20 13:04:03.685 UTC,rkTj/gktE+fk1uA6g8xGWV7L3Tykc14WktjwP+Y7Rw+ypBZUeO2sl2unyaKj9IWtl0lX2D0yh0KJEsEXmC/D3A==,"-279,242",#000000
2023-07-20 13:04:17.971 UTC,sxYEVPfaohJYIYvTq4Bv89Ai8TPHe/bCrreUQSH/u7+9lhqLRSo6oRuuFHCt4IKy1ltsLU4hEM0tRLPb66tA7w==,"60,-65",#000000
2023-07-20 13:04:21.997 UTC,ZyxEvOoOROWtKV4j+7ReL71h0DlibBSu0Bxdke0dQhbgG2BGnNul8VWa+9vNEuORZHc+Ii37exhnruJhM6eWBA==,"23,-188",#FF4500
2023-07-20 13:04:38.197 UTC,ywG7MbcHONF6gsVBUZ45f9jUvtulXkz34ez9t2oiBSkxprysbAjWas1tLjxmib8j6RLhv7L5JD3LigbrYgF5Xw==,"-32,263",#B44AC0
2023-07-20 13:04:38.896 UTC,1PQPtWVBamcACgD0DJtexbJ08uoCetvrKFPCyjc4kP3j2ub6wDzeIpOJ55Hhpw3E7F6mlW5rvpljbfO+RjXgCg==,"-201,375",#FFFFFF
2023-07-20 13:04:39.757 UTC,FdP9nI9ZB1x8f0u6zzEowgaVkLi3okn2axdwa3o8gIgEKq6Tkr1bSlisefppwOHRbtqQn6C0xm4J42L9zec/dQ==,"-62,280",#000000
2023-07-20 13:04:41.115 UTC,Sp4flue6oel2cwEiP1c9z7sOoU89Jg+v38dSrfDSDvkrbXZSZFu371FC7/tgMQPtKPyGmZumqOrqEq0Aqx49sg==,"-143,266",#000000
