timestamp,user,coordinate,pixel_color
2023-07-20 19:44:22.59 UTC,6koTkPY+tYwC/2jbvxlaLuy5hbIwPyeD3VfMvSZvIfeuOgG+pQUtatehDkxZAmhDNfk92Q8vWvkq94J+7M8Hlw==,"359,-56",#FFD635
2023-07-20 19:44:22.59 UTC,Vouh1zMAS2dJrWLpxNrZkcQmLm9RTaDGgzfKn8HKUEsGbDw2JCj3cdzlzSGV68luqsIQ0s+8BeLm1u6CgGlo3g==,"-350,143",#FFD635
2023-07-20 19:44:22.59 UTC,jYkGRP0kfv0rvx8iuBrbXOlYACYAaXh+QNRag4S1KUcwY4nRUFWLKtb37U9qI8kNMazm3CGzeNvarrrR0xaQ0w==,"494,446",#FFA800
2023-07-20 19:44:22.591 UTC,5PiThe/SPM45eIO6FDpT7Y11ytTyNXxpdKcEzVSF/DRNj5lxzaEs0im5H/9HQdPH3e6i5vF+YgxdsoLt5Rdblg==,"-475,368",#B44AC0
2023-07-20 19:44:22.594 UTC,g6R7HCXlQnjhlnSbSySQ6rZOVPPTtWJoUH3/ebYlJvWWIHEGWgLIwX5W9sd6zFLfV+ohHZ7OEtcHX4xLw75oIA==,"-335,319",#FFFFFF
2023-07-20 19:44:22.594 UTC,ga8F3CYlrR/sIVSL8ppdd2piycdXnfkmKNDWUvReSi70XInW/oO+lXc5HGagbMZwBe2bWc8DC9DaqalY+Ui15g==,"493,-285",#FFFFFF
2023-07-20 19:44:22.595 UTC,UeofeEzx99LWISRSwTc5YDlbS8RKhQ67ABf2iOQiBDLsMR4cvZeJ2HM51mDkEFleqrVm2Kj/uaHM6EsBT9FDZg==,"0,-250",#000000
2023-07-20 19:44:22.595 UTC,J+0ACJiDu6SAW05yR3LbiCO5GRyUYs8VnrSqq+lDJEmYSJLzjj6OTPkWXAOHQlzkvqkqerBw0+nMVfJAdftSRg==,"370,242",#3690EA
2023-07-20 19:44:22.595 UTC,gjKaFtmU5kzzZVnms/v1hWAPWrmcG1omkSaV8Y/c5/KFBQUB1rdPuqG1s3yyGwISO+xZrQllFwqknvRFzbMsYQ==,"-298,388",#FF4500
2023-07-20 19:44:22.606 UTC,wt6vb1/15oJMqonyIc1cbufDoZSC7QE6QWGVTRtaiMKLGS9682Oz/Xnx8BmzGjm4K9se6GBE4xrlLqZKPjXqMA==,"80,-322",#FFD635
2023-07-20 19:44:22.61 UTC,dtk5NsShczVap/FRnxuqRm6IZ6/a4EZbMDsrLMpjtRYVEQ6PjSu4kL4ACY2okIx/gK2VZl0CIcGcMMjm57EOYA==,"213,-295",#000000
2023-07-20 19:44:22.611 UTC,p8wr2wW4Q9d+FXiW63vo1D54+B/koMS67MNN6vfjUno1Q2rW/bdUhVy9HRCJqy/R2DZPZDM2bDuTDOVQN+rN5g==,"-319,396",#FFFFFF
2023-07-20 19:44:22.611 UTC,m5ST95Ms/gDgWYHZ1iY1qI0AakKupGJoiIBd6s8LmMScfuyBpUMkxVA4vkt+veVob/cwc6flcTKcB5qTOT5hHg==,"-222,141",#FF4500
2023-07-20 19:44:22.611 UTC,cAuA18jd5Mq6WGyNagTkL9V5SpfI0G0XQQ14v2W2VkpXHbvyqLkA+I+1u2Ns8cG5V+tTHXF+X+iVF8qxMKKHWQ==,"344,-325",#FFFFFF
2023-07-20 19:44:22.611 UTC,M6OGcmrBdnJIBUdCcbzOU3IMJ+/ZFbBRVKnZgyF0n3rEaiNTuD29ihHKqaAzv5J8LTovciptSTtPCeGvoqxqKQ==,"109,-129",#000000
2023-07-20 19:44:22.611 UTC,vrXNJjxqDql2OyJZB8mq841gorpElncOXe7KdPBDw4fl/EbBMBUaY4uB98QlhQC+Jbe1FtydhYZs+k3hUzff9g==,"-292,191",#FFFFFF
2023-07-20 19:44:22.611 UTC,ucEB6Sj2AWQ9S6zsdzTNNn7BT5IZvk0nk3Zc1i2fP5ko7H/se/kKQnHk+7Kj4WxeWuDaH/vUbwFLIZZpBr9R7w==,"-137,-345",#FF4500
2023-07-20 19:44:22.62 UTC,pZpN4W5lBwxRPQxPQ0jSx7cdz/1WBM33vHr3zNpyyou1OmSUq7vIvqEAFK1VLgmmktMk/zAGweMQsAizIYkMiQ==,"402,-178",#FFFFFF
2023-07-20 19:44:22.62 UTC,mFW84VYXuS1XvyTaDowCOmUb4YwScvjH7IoY+zs7d1yz/S9aARPLp7P36d6M5/f5PM6tZMuIFzRENnwYDrcnew==,"-431,384",#FFFFFF
2023-07-20 19:44:22.621 UTC,zUq+DUlWNFUKSX6t5qiZ9dDmKLlGgaEeDQG83NZ3lnWnIEPTi9GzdYbU1JAAuoLgVFO/YWpxmNstCNCUqcMEMg==,"-443,444",#FFFFFF
2023-07-20 19:44:22.622 UTC,VB7N1hPcyHLEEhfP5m1Az2uOCNMzGVEBjZxQaFDcFmsU4WsgjurAkp8pSLRk9YXgfN8dS9yLcbYRW1C8B90ANw==,"442,-195",#FFFFFF
2023-07-20 19:44:22.625 UTC,YUszNZdi6Q91UtQQwWCsvqaQL6kiuk25TKEFu3yfuBkpnTs4/f4p6vyRvumX+ZfT8ZjgNQ2kYdRCR1mu9QdDzw==,"303,483",#FFD635
2023-07-20 19:44:22.625 UTC,M4fBsoWEd6HhmWK7l/jR4liHO98Q2Bn+/YAFfZooFSmXv0WTreU2PagyYdsQ1SaneFuFyQJthnPK0/9DoYhPTw==,"323,350",#FF4500
2023-07-20 19:44:22.625 UTC,oUTDQ+A4HyraEvV3gn+lh/8ZK2X+5/ou6MXRGgCRK0SXdDtkspm2ixbkqY9pHQdBYEYWdpW2n4HebGPn+RkFtA==,"-479,-395",#FFA800
2023-07-20 19:44:22.626 UTC,z06nY7hIWuBkKLz1Q8ItbyktOVnoxcZkA6I2NxRZxnYN2Yr9R/pqBjrv+Cw9yLFdEj/RSX6A0D9nTE3O+xeh0g==,"-255,190",#FFFFFF
2023-07-20 19:44:22.626 UTC,eYpwBWC1H/lmRmG5DNkhDaVzYKyzGzefud+GVLyPMzT51fMGt4ds/7pK+dzEOIBxYQ7+R52HhHa9YIphBWZoVg==,"213,36",#000000
2023-07-20 19:44:22.629 UTC,ODMf+/GXRF0kKnkMGXx1POpD/DALb29o+Un8UK/X9SxTqpkFB3xn2esq9uAl4Qkf5FbBN1yNaNsf9GSdpLrONA==,"424,383",#000000
2023-07-20 19:44:22.629 UTC,gUjxhkK+nqe0l7CwygqJebnz+pGSzI8NCphOamBZIXdygp4eTQvWlsJbriM7GCEzanQPR1LjikbzXKtPLV2nGg==,"-225,288",#FFFFFF
2023-07-20 19:44:22.632 UTC,wMWHXT/EDHzQTGOy27KVdAlrO+GV9Wi6vqggxxGPuNuasDuAiQyvz48M09/TKDxkhnhC1wq2pxdpYUaiIPNWEg==,"-141,-121",#FFD635
2023-07-20 19:44:22.632 UTC,afuNTv0qYJxFFN8j4uwUN+tqjPRU3Dk4d4/FYz2ap6fG6wsYl5fJRP8R0f+fbhtv/FpWImNt+MnN0tm6Bgx6AQ==,"376,129",#00A368
2023-07-20 19:44:22.633 UTC,Zgi5MXT+99wEoj0H4LUomqbJ+5Dg+5zuvIwB9ikU1WBqW6Y9dHqi10zwjhAiQv7x99V4NaHH4GX5jIo8r6ht5w==,"432,-496",#00A368
2023-07-20 19:44:22.633 UTC,7inMA3PO3mHfBiA4wFcVZSfUopWTqcCe+mE9A3sMvm6o/iiIsAiAiElIJvqo2XID7GZXU3LTLosro+197GibIw==,"-427,367",#FFFFFF
2023-07-20 19:44:22.633 UTC,58YVJmtihMlEsI6KktNnjXI8JzamOYDIW7jRX30JZ/lGkF/uVfnlGvnaOm3LQJos7C+KlC78s0PYDNJu9eXUGg==,"-311,168",#FFFFFF
2023-07-20 19:44:22.634 UTC,+ckwiYutdRSQUG7GS6qmRz+jwyiJ+RxeR6Tkf94n/mxRByEI/5salKgFBSUnO1BkOmDRzaA6RZavGIkNG30qcQ==,"448,-444",#FFD635
2023-07-20 19:44:22.634 UTC,/lF2uMUFkVbVeE41PFoYsEcGYKYcAAp1tEgmm4T939XoQfhuuL/8m4chzathvnU2JhaIPAOWHqCT4JTyeIlxqg==,"477,320",#FFFFFF
2023-07-20 19:44:22.638 UTC,/ouKiFNFtjBIkBLCxrYv6eZpYfVpP+OQVaDYWYmnJt01tzMp/qE73N3P61DxAi23kfWLMviGIovHxurio2coNA==,"377,223",#FFFFFF
2023-07-20 19:44:22.638 UTC,BTaUlGSvTHIgFf0cDZVGOYoNIZY1Bog0c2DmvYnSn3FE6+pc1FJOVc9HSGmDrq2lfwocWaO4sva62izO8vT6Ag==,"493,-285",#FFFFFF
2023-07-20 19:44:22.638 UTC,DNtUatfoVKzd7ZLSTVMZKIi0RxWpARsfx6JzVJcLFa2WqhxVV7FMTTMZootV5xcne2AYG+ZrW+3QpnSEgIG88w==,"-359,228",#FFFFFF
2023-07-20 19:44:22.638 UTC,FWHCzjnH9SEicabUeHj5gY60ICAJwpIBa7Ky2sykrZpHMoil89rvteTNDp3l720mzPtJv08B6cIR4KO6a5HZpg==,"237,-41",#FFFFFF
2023-07-20 19:44:22.638 UTC,szmFXLL3Sz5+0oo/uqQ18+5l1J6oza3wf4FZw/av03HDNFhr60NWkUBpd248vGsGTOjhEdXfXjSADrMqBXgcbw==,"202,-362",#FF4500
2023-07-20 19:44:22.638 UTC,93nR5VwAJHTQc5TgtDF3x4Hf4e6x6b/PkW8IvY/N6AR/s9aLkTD2RNIHygyH6C7nFk1kVhKi36X2G9AAJ0h3kw==,"-426,365",#FFFFFF
2023-07-20 19:44:22.643 UTC,E+En4CdldH7VNo9gFUqc5QGVNy+i7/dLl2DZlJBZ+UVj+mnHIqLP2Qcq5ggR0RCWqz9hWypx4bKHs8kLu5wXpw==,"111,-160",#3690EA
2023-07-20 19:44:22.643 UTC,lIvd3ljOHfv7doHK/9ziNbcxKT8O/o1sv2U5hQbesYH+RQpqSqt61dNmxWhKiub56h5yebHFVQmBiqz2fDV0Sg==,"-438,371",#FFFFFF
2023-07-20 19:44:22.643 UTC,VYtXcWZvz29Pm8dWbP37+EVb/EDkydmvkMU8dSIXcWW1VPbYW1/qm7CKreReNsssdcKosg51e/8E+19ivfbRjA==,"305,193",#B44AC0
2023-07-20 19:44:22.643 UTC,B+HkcjFuuI1t4ykc7RySOC27E+feeBvbWRRUVpTEhJqPBf/GTvaPv5wAXIR6CL+iE1gYM3qE/JBGj4NKw+QGXA==,"463,195",#FFD635
2023-07-20 19:44:22.647 UTC,+MK8otHptW4Wj1uo3HisyQJrWTCJpmD6aw+fbGqP1y3Pi8a/B0iQjBj2W5QwgKJ9FhxwlAGOoa9JysSfu7g2Tw==,"277,-364",#FFA800
2023-07-20 19:44:22.648 UTC,YSRADvGbkGwTfMPEbaeNOPzdGOT8NJVQJKITQG/c54jbMrtXzryMJdbTPYg+65xwePJjr4mjKuNwcmiMzS2crQ==,"-433,-213",#000000
2023-07-20 19:44:22.65 UTC,zU3CdrBgZy+THpcVXr0w4R6YegiOwrfogIEupGjlrEizwSjDTrgXxuQoJpjXmFjsamK72rVGtBBfTrKdNgIkbg==,"-171,-338",#FFFFFF
2023-07-20 19:44:22.657 UTC,Lv+Mntc42otqn0vS4W9uNW4PqOoclmUo7zVMpXHHmTsYCNsrBnt0dN2tlYSZh5OJbm3GOoinl5gt0hkWTclMcg==,"127,-160",#3690EA
2023-07-20 19:44:22.657 UTC,SZ4x542ap/UeyYql6TeXYSMi4fbR8wX9BTyrL9jt8BN4CkjPCSQtuSYbU9/5Gqt8spyYWn+z+s6wgS+T65AuFQ==,"-378,448",#FFD635
2023-07-20 19:44:22.657 UTC,n5ew2vG9iW+UB8hZrXAZHDz07pgE2udPYCOP2Y1D6C0KBOR9+7nt+Wl4RfqCvKyi3vCW7+8TLsRvTM/OWyuVGw==,"-28,252",#000000
2023-07-20 19:44:22.664 UTC,HpH/nkCPIxn0apczvNw9vjrY1Wq8xF5+PJQaKK8fEn1P8iZA0C85EGKIZikZZNZ6ez1bMlDnWh4zDTjRjFG2iQ==,"-313,319",#FFFFFF
2023-07-20 19:44:22.664 UTC,ubxhcPL9XlSeH4ZCu1R9pXSHhfi2ZpNtEQcKeed5hSX8hhbg7OvyuJABfPHP6NT/WXk/wXcQ6Nog/C9IB1CF5g==,"110,-194",#000000
2023-07-20 19:44:22.672 UTC,R/ftRlAMmFKtqRfcD9AzHK9sbXxBBR3qkQLnBVMhOAAhb2l/O90QY137o/QDWIpvu9sNVDbRc+L5+4ulP7asHQ==,"-183,206",#FFA800
2023-07-20 19:44:22.672 UTC,+T/nk/YhejxZNiyl5TAnFfzZxtytRYSVH+ioAbBAdRJUUBeCZepyELbKXiEMx+5t61KoNdgcpcXnK+oXeEn0ag==,"136,-159",#FF4500
2023-07-20 19:44:22.674 UTC,E84A9RF0SJdJJiFINaPgHZBHiMQusMFmGywLUy2iq8QNuNaQNHF2+/btH+uFmAtolOJ1FR909UfqIb178VVyCw==,"-291,175",#FFFFFF
2023-07-20 19:44:22.674 UTC,61iho365ur1JWrzLC9B/VM1xJ9Ds+Qb15FlXe/L3klhCWIxHv95tPJKkEWwgvkppXAERiOrChJYtbbqyXEPROQ==,"-496,498",#3690EA
2023-07-20 19:44:22.674 UTC,XU5D6n0Y6NKmn8cDip2Bh1a5yxeZaqgIVofhITbZuQPFQivuCyhXpIFN/Vg9bpX2AsuQ2p6laMPeLtdt31/7Jg==,"120,-164",#FF4500
2023-07-20 19:44:22.68 UTC,VlrP1sJuofcDwo1AdYOWFOzDqR4EX/299T86REq3n8/biYbO4MRKVpZY6GxJQ7NXYoIGDH4h/QPq+qGbVLKPEQ==,"-46,488",#FFFFFF
2023-07-20 19:44:22.68 UTC,yVf3Ok56zkaJT4UqPaY6MJ5vjuYV/Xkai66BNYC7TK/7zXW594VW9HR45VraqT4Z3t2AmxiT+56UjRz41GnTZw==,"149,-183",#FF4500
2023-07-20 19:44:22.683 UTC,r6mmOnEnrG0z5pS7yE1BmWv4nejPt8ndI0jLj0bOihPFlDHjityGXFy1pzdRXoJmNb6ljm17PL/D40UekYwa5A==,"93,-168",#FF4500
2023-07-20 19:44:22.688 UTC,mBrhuxnvdh2H8GnwIFKZk55DGb6ZY3Xa8II3fNk/fo7wd0HpKenVhK/bMepdgrAMAqbfA2EH9QvD44g4zxBC0A==,"384,250",#3690EA
2023-07-20 19:44:22.688 UTC,1xI+DPN6dnUGBwP/FjLj9ZJgLcCjIUEv93LMDifljrFnEtbnRp0JXGkY6Xg5ZQ1GKFqLXmOb75xGkbzl/rwB0g==,"328,176",#3690EA
2023-07-20 19:44:22.69 UTC,dw6faAs8Ltzf1VLlj8/A6dGVUY3Omo8XKtZ0mImvZ/48NeGSI9Q1uuHINhsE8ZMh1/lXvrm+p054Oq7EJyWUeg==,"-359,216",#FFFFFF
2023-07-20 19:44:22.69 UTC,OZHF5+onUNLKroojMTpzKvZGbJsoekh1og1pvRQzRcDB34CjW/aZUafPHOM7//6/eh22jb4ADG1unGAr5XxyYw==,"109,169",#FFFFFF
2023-07-20 19:44:22.69 UTC,yvAeHPQWqWg8//eWo1+XpytC9MRklC4BZ5qNS530d62m92ji5fMQ1SOwi22z4RzFVJJhEofquoI+rvNAVyB/1A==,"-262,280",#FFFFFF
2023-07-20 19:44:22.69 UTC,p0zURSqTdN9MqB4ZN0e8bTHwv4q9YIEBJJ9H/+utwVZFasXG0enHlaDwMIK5xNMQ/WGNYYjG+TjedNASwftrNw==,"-417,368",#FFFFFF
2023-07-20 19:44:22.691 UTC,otzx4AcPZocZ6bk9r2msKZO7QWwHdwOZTQaenoffeb3BsI9YFC3c/9CqRwoql6ZGL06U4u49V2Y8vBe04YmvMg==,"-295,431",#FF4500
2023-07-20 19:44:22.691 UTC,38sWatOgRhTJglbJ7HAV2lTbH/GEENLePB009QyVy2316Fj+GDEfRnNTu2TOKR9eYnJZQ370m8RgvbJUUOwtJw==,"-87,304",#3690EA
2023-07-20 19:44:22.701 UTC,OFt41IsFu7aEJHjxBlluMd7w0SUJ53pwAutArdO7YgOkOsK0zrk1VnvOX/F9b4bZF069WEzxeNsIRYz6NYqjGQ==,"260,-91",#000000
2023-07-20 19:44:22.701 UTC,DFKpm1JiXhQT7dmwvv0VSNd+Ynh253h0WiLQEm46eKr8o4oytS1q6m8yCCeQVu+cQEW5otrvjnYTEadLmLqeLQ==,"21,-242",#3690EA
2023-07-20 19:44:22.701 UTC,NmFWIiBKj8cqL2AhE0jQ0RhF5zEd8KJbDtOV57B/wUAwY9HyAYzRAlRD6mGkXqhN8C1Z5Y2sZea9gquUXWGVpw==,"-290,198",#FFFFFF
2023-07-20 19:44:22.701 UTC,udOoP4UXGIuyTRpoSK+j0EqjccYG6SKxEu2nrptZZs0NS2un3Nf8/t2Gsj6TB1NpapMZc2PSk+QVz7AqgYtlRA==,"-346,-59",#FF4500
2023-07-20 19:44:22.701 UTC,iHV22wmvnAK2ryracLC0DGUWLn1Lj8B0ic7G40hnRsZwSnqfTA1mM3S7TZPNtE0pLs9eoEuKeNP3aUNT9UEWKw==,"176,-204",#FFA800
2023-07-20 19:44:22.701 UTC,EQtRP+mE2gheeAi5CvVuhJqNjHmzJnm5JyKJ7089A4MmbgUwLjnfbiXN9fhahn/fdpuhHFLeEwNhyijrfl0Gpg==,"-432,321",#FFFFFF
2023-07-20 19:44:22.709 UTC,i84f0ihEOKWdJ5C9YOxsPr8CMNoSUuL7LFmBGIF0JJ/M0iC3XmOsNZyYS799m9BrgM34aw6Pgt4V9WxEdBdy+A==,"-21,192",#FF4500
2023-07-20 19:44:22.709 UTC,YrE03AdkUfqV1bO1J7y91IX3xYdZw7q9OqrF1hygAIOkcv2RHq9pGpIE8oh0VwQiif3KPnnHqWUwk5C4nOS7tw==,"207,384",#FFA800
2023-07-20 19:44:22.709 UTC,si1cP4QI5n8HMm8w2c83Nm/xxSl0JOjRb6H+r3AT2j/PAeP1FiBXoaDhndYCwWydwv7iyDAPfATs1fV1ck8kCA==,"141,-166",#FF4500
2023-07-20 19:44:22.71 UTC,emVL9f4r8Fjv79drSMOKKMo97Jb0uPf8xiKshdKMLnYxURObUHaU01obUltBVyGkLSDnNIEGkrFccmuS24f9KA==,"296,-139",#B44AC0
2023-07-20 19:44:22.71 UTC,Y8ZDTd9corLj79DVpPbzVWkbqsJV3KYhSijqKOURHT9S+zFeLJTY1BnoJrF3e/4le0fof310nAKIdhdKwiQpKA==,"190,-252",#FF4500
2023-07-20 19:44:22.71 UTC,Puh657d1hYIuyu5+vM0TPB8Jtz5vfMm6hc+UZBk0Ne15MyjkHimVMZAm0MDErORurFQziiDWkTQ3ZKeh5A2Ddw==,"119,-196",#3690EA
2023-07-20 19:44:22.71 UTC,c2QXSw6p0ilABJq86w3ezP630+ivHRFO6nx3Gr98nNzVdAgFjfBf/dsvJG+1TaNEQhPXJt0E+o/LVoy90xn+BQ==,"-148,-363",#3690EA
2023-07-20 19:44:22.719 UTC,/cLGMJkWsA3isactOzyPBU5JHC4P6MLjOJ5P/j4mJbBIdw23vZtHE0E+2pITQG7CTZRbLQskeCYzE5hdZTgc5A==,"-356,264",#FFFFFF
2023-07-20 19:44:22.726 UTC,D8aX1ciiltPIGP2Eszhl4z2yMlC5eKvlnaX7H5bxGZGKRZ4S/mZgfx5iRVhcID/hgaHS029HVLh/tFsU0K7QoA==,"306,168",#FF4500
2023-07-20 19:44:22.726 UTC,9vUfUJ3bakRORhTa8Tf2s8w2e9vbn6pQgHmrX7irVFXyt7W182N+T+qzetTmleyxgr+RNXYVYryqeLTPo31X0g==,"-64,-157",#3690EA
2023-07-20 19:44:22.726 UTC,2Ga90Swtj2Y/ub67iX98N2AXf4YCJ/Nxr2D9XlRVsKl3vIeCnX/sUiFXvPmeJ1Kj456xM+TDBLfTstcxEiiTuA==,"-265,171",#FFFFFF
2023-07-20 19:44:22.726 UTC,tWDW3offk7GCNsvgIY35+Los8RFd3Vs753RTMF8m8tqQ/V7kqSl7mfjK3S/Xo24gOcZh2go9YmnYI5IAFIXNmA==,"-394,-371",#FFD635
2023-07-20 19:44:22.727 UTC,kj9rT23Iw9UZdCaiOYRi3NNuVWRuE5C24lLNBnUn8CqxcHXrFX7SATbAizhRpjDRNlGP4qZ/sOF3EprR+3EoNQ==,"308,174",#000000
2023-07-20 19:44:22.729 UTC,tZbo90va6qZHcJ9K6V0uj2d71neSnysMZuIwthWc/qcLER2c5Zntsc7Mp1Fi19HFAUSPDdqgsFdzasEknCUcvw==,"89,-361",#FFFFFF
2023-07-20 19:44:22.75 UTC,IkUbmBlm/+BtN5fkbw50uo60DoXsOMRYowFl7EyUvkYPr3gA6p+9UalcKQaoevMfEcbze20S43UoIWgXTs8XaQ==,"369,-331",#FF4500
2023-07-20 19:44:22.75 UTC,h8qV7iaR2G1fhoy6+ZejubACy3v6bmGRzyyrrJTJXTC3dlQ3ZW5OvqnVesBl+ICW7B0wuRvvTICTG/1z94op4g==,"410,-153",#FF4500
2023-07-20 19:44:22.763 UTC,QTdsuAjlXXc2GSurzp+MJ4XAUt6DrN5STQ52wVeYlSeC7UEqTTI985ySOUxl113eKcqbFw6OEpi9bEfLZVDs/g==,"151,-177",#000000
2023-07-20 19:44:22.763 UTC,1GfYNITaEgEeXcsXIqxVjmEVBQySOSpQUTUTNrX9f7JpXkZUeGJBTti2x5NKr9nS4rCYsYG7gyKQbd0au0RIeQ==,"-244,292",#FFFFFF
2023-07-20 19:44:22.763 UTC,IpKNokNM+Z4I0CegfmjW4iVEyNx5KIK4lGeDkzDpR+hd/GHSmAxeITBu+App/VV4fWmKS6J0V9k/kng9V6+dTw==,"-287,280",#FFFFFF
2023-07-20 19:44:22.763 UTC,JgOiAQ3YWuA/Zc2EnfeP7+soV3yatfOCGDry2MbXtLU/hzEUVo7w3pqQpBYtjoSMB8DdrOqUpEdL4qgCgy6IJw==,"-316,389",#FF4500
2023-07-20 19:44:22.767 UTC,d9dH5Tq/VsvfHD5X6w7uPAVZ8HGCdLa8DbLgKuAzB3bXJjHj9oa2XNBMIjQzWHPzl061B1tDt+1H1YZhxkKbIg==,"-312,432",#FF4500
2023-07-20 19:44:22.767 UTC,8Gxo4YRMJ7LnuG/peUBrfXo4tsSFyGz0edfOi1rN/gB7iOPrEQaM8PQrbZAiwvphXnUlucXD98wFkI7fFmo4gQ==,"470,-212",#FFFFFF
2023-07-20 19:44:22.768 UTC,laeRuMwpdpgtDNPqkL3Tgx1/hqaTMIKe7Yhr5+C63EnkY44YWdHAQaIx/Qfs2t/U3DakrHvKqnM9G/RejnF84w==,"-120,480",#FFD635
2023-07-20 19:44:22.768 UTC,bt5uRFFZnyLlsx73yYs7LruKLfyV59rovCdDw7M18cXNbLbucjjsYBRPRLQRphkVs2g8WcSbUpnh+Rb5Iace4Q==,"-311,177",#FFFFFF
2023-07-20 19:44:22.77 UTC,tYB4fLPFUwgaV9N4vKX2I9d4/uarVXSATrvqhmI6zvX1JNjuhyEXX22Vd0sojXHbuRPxpC0gckuOyAbAg9oIBg==,"-247,274",#FFFFFF
2023-07-20 19:44:22.77 UTC,Yx1ZWLslAQNazALwPuWr8yKSC5+dWUu+bfgBGNyAnhfiCCAplGqaAK/9OzC7dBve8NKpKTj0WKKrD9xi7RJiAA==,"147,-190",#FF4500
2023-07-20 19:44:22.77 UTC,eDWlIUhrH+ZwHRHSSidbjl/QwZpYGxp7MMrGb8Y9lRWUEsX3/n72N/E3XQwnapfm/gWbLwdovtgWdtRmdo6hhg==,"-316,320",#FF4500
2023-07-20 19:44:22.771 UTC,v8u3IlrRCgQOra1p9WTaNNeTbDkPoXq7mY6qrNScS0kok6b3mxtXipvnKhQDV34YSi/Y1MCRravRxeo/OdSA4A==,"417,-48",#3690EA
2023-07-20 19:44:22.771 UTC,Kl+yAvHFrXP29/0Q4VwHclPOfjepMHzn1pZhr8F//x+X5cjOg1GJaWiLcVshk8FhCKg2rBT9kNUuYUOeAdrv4w==,"410,456",#000000
2023-07-20 19:44:22.771 UTC,r818RUzTj3LaJYgGf8HaHsrP8e8l9Za+aCZIM117nVJU7XXhttdSsyU4x5VdOWusSQWehVNn0fnuwdBLqO1zwQ==,"-297,337",#FF4500
2023-07-20 19:44:22.776 UTC,fhxvddas9VQn04dgXjEuTl4Z6hLMasw2M4JwqPswo2TXU1HqNf3JFHleYqJyx0wjS5e2cru7g6M9z7AJ917Wlw==,"-352,257",#FFFFFF
2023-07-20 19:44:22.776 UTC,efrK3fi5GpePYuN3J4vLi8C0l0LqmPmdYwCCUMwv1PSAXoZRpfLpxMw7nl5HUy9PcfrGzgTWLqm+tr2B8PcLQQ==,"283,-497",#FFA800
2023-07-20 19:44:22.776 UTC,GI0rM7q9krfLE+oVCZJldDqiuaZl/0SJ+4JipzAodjtP9krUiekiuBUS5/7taJ/MjIbhCvNTOqRfHvCa1FnlWw==,"123,-197",#3690EA
2023-07-20 19:44:22.779 UTC,8E83to1kSZMH5AJXoPc8QZyBU8VAXeH0LvIT7yJuV8GF3RS6fvDaHHQik27vm1H/ndC2PRUa3g1q11hU1q8d/w==,"-157,-497",#3690EA
2023-07-20 19:44:22.779 UTC,03VH+Ymv0qBsb8il/Wi3Fr0tgxJ1L6u+OgebezXYMrIIAtb05mF9Tr5rNPqklRIfddsMurgu67kJng0QUHx9Zw==,"-66,-4",#FFFFFF
2023-07-20 19:44:22.779 UTC,xhhbcdRzlf496c1atMKFEOC2xS980YqvGgFnlGk/inUGpLg8sZQClfQLKJj+9K9VhcAXHr+nen/JKJQrHS7l3w==,"324,267",#FFFFFF
2023-07-20 19:44:22.78 UTC,i6ZoZRpuu1//2A5FX4iMFBQa9dLFkUtL2ydacNGfm3MPlKP5633QgLYAlA+CFn08oB5uDB5uj1U0VbCqaxhDBw==,"-268,406",#FFFFFF
2023-07-20 19:44:22.78 UTC,sW/Va8m0bFnnQI1B72DO58kAi8i9l9/nvwoPKtXPreDHAisQY0h7eBXf00eTNJgK3TpN5L8fdZWeWw6oU7/zrA==,"-353,214",#FFFFFF
