timestamp,user,coordinate,pixel_color
2023-07-20 21:36:42.25 UTC,B0jKjuoQf3ywr23w8D2m/sKP/YNMqmfTJBFbewHMyEuKWwMat+DbUL2ZZP+O5KYoejvb2MDftkAFcH80xXwGCw==,"214,466",#FFD635
2023-07-20 21:36:42.25 UTC,KujTbOagJ82P4wjQ5bV361Fs5gVpW6eL71SeL94AcQhQkjU/ED5QkRo1+idz6UTnN+V2Ufximv9wPLe28D6/tQ==,"19,-410",#FFA800
2023-07-20 21:36:42.254 UTC,9LCdtK9B/g0KuABzYyPzsLxUezGRW64rSANI7QJf+DHhV2TPH3lc3v+pBQmlnA/IofwahTtQ6IAnE8Jw/pF5sw==,"-329,-264",#FF4500
2023-07-20 21:36:42.254 UTC,GqrUlxkW+dvH0PFh5cIxRlbyHidIQwGgDYVoyqWe9dSk00vcHddCgdB5WMb07kUqAQdNZCk5ElnZRTwR6xqfgQ==,"212,466",#FFD635
2023-07-20 21:36:42.254 UTC,9A27ByCbkedNtG5Iz5QtL53Ns9hwxGh4m9Y7gKfMr3UzPUC2NY4pzhqd80NZCgXOIM0Y1tVmBjHNK99mamsSIg==,"193,413",#FF4500
2023-07-20 21:36:42.259 UTC,aPcgmrDutqp/XHDJOnqbVp2J5UZNmxGwEbcH46vAOUlh8Kq8K3/sPylx3M6z/gF6FGneHQbEkNjD3kuNfVS/Ag==,"-217,344",#FF4500
2023-07-20 21:36:42.259 UTC,xeUL24qm5r0CxzwSmtnCvId2aD7OUUojtibHFWI8cnRWsOGhmYQmERbQA3k1EPlHPMUQTMypazhpaYYLG81gcw==,"116,-354",#FFD635
2023-07-20 21:36:42.263 UTC,JkHbLV6FScysfZsuB8D+pRmLXI1qfNyvY8RximnXVFXGK+C9srrDjbAXokEtsLJ0DM8wBYeGmJHTwClIMUAzVw==,"165,287",#000000
2023-07-20 21:36:42.263 UTC,w/TgL+Y+Q4CT1KwA3ZB78Arb9xmTmzoo/0NzNDHUuwZmRUbCtM88wB8h6e4S+VhDq7FG3JxHccBp2f/zbaa+Dw==,"394,-415",#3690EA
2023-07-20 21:36:42.264 UTC,uEx/07xVTs7mftS/8EcODv6S56e0kdnEIwHTon1CoMh4Wu8v1QK+o7iYB0Gs3Bhz+0i1lpB7WwaVgZvbHwcKoQ==,"-437,204",#FFFFFF
2023-07-20 21:36:42.264 UTC,vByqPY8ag6yljguhvyE9KYmBrBwW9kohxK5ClpU0y58B2IBjV1fdUhdXFVpMxm3M39h75TAwG3xe8jmQNrYlLg==,"-112,369",#000000
2023-07-20 21:36:42.268 UTC,9slSHRMdlBJ8B/p9siEveaR2/piDplVxFC8D24pWtNdEM6u5kLZB8bnuALkk8LwCLLX6FXuBwKI+eoT7UcUu7g==,"408,-45",#FFFFFF
2023-07-20 21:36:42.297 UTC,BoKupMkI78c5iJFkzvsDiaYSv3SbCBjtslEWyzEypNSJ4s5Z8cgCq9R+VNxBfATpZcIrsTMnK3r3Irwg8pNI5A==,"316,255",#FFFFFF
2023-07-20 21:36:42.297 UTC,u/9vOMr3sIjxRv6xJ08SP/PQoSBdts2AZ4yyToPlUdap4g3kQm8NSXxy9VXlUOcklo2ba3Gl39X2K75u5Z+mOw==,"434,61",#FFA800
2023-07-20 21:36:42.297 UTC,dZGiZLr8Cph/QpTFbxobel47PCRVvLf2ft+rHWzSGRxiI5iQqBfJ0mcqEXWZ+sDMHLM8s8raD4ZxoOso87/7Wg==,"179,461",#FFD635
2023-07-20 21:36:42.3 UTC,y/7XScSRBuwBxvKC0h3xPC6I4zLx9x9MlsC1obiieBtctcBUgThx5+yEw2XRo8UgS5izZYdaKHeOJBu+hhQmGg==,"-292,-490",#FFA800
2023-07-20 21:36:42.306 UTC,XdCozrk6EQxN7QApXwB3/8D/R5q9zJxEvr/gN9pM0M02Wz7pr9n5QhIQ49LXyqAGRt9lwLG09hYfNJFFiKyudA==,"-31,-306",#000000
2023-07-20 21:36:42.306 UTC,HvVuwBoXkyju2GDUCKDc5A1XPU7xZ/x6dQXbwyLGvshTnFCOLUdUQ85QWd26ktMKy+sBgWiYG+N27ZElFjAkhw==,"356,-31",#00A368
2023-07-20 21:36:42.306 UTC,7do+uMMS9fH4E3sLKbffRP5hL+kNGK+4AelRybq8j0ujTXAJKMXc9/GP4nhAfrQvLjDG4Y8jSC4B7qL42Cxgxg==,"-104,257",#FFA800
2023-07-20 21:36:42.313 UTC,7laICDq90DKJY7z34iLc/NlVNm1zUw8VpGrQr642XBGzORygd6RAlC0De53BSCxNlf6mt569UKoOr5TZTJdY0g==,"212,468",#FFD635
2023-07-20 21:36:42.313 UTC,Sz+rLRCkhlMoR/pB5n7mQmmCha4M7wkSvz6WYR0x9HXNl/VZKfY7D6acypU9QS2r6ZdZtFq4UZAO2PvoTW9YOw==,"126,335",#000000
2023-07-20 21:36:42.313 UTC,6zXICIl795c6nEFGnLJV2kT7aPv3u3a2hxlfwYaZGMBwjDuloVBNaE4Rec4pEQ5TSZul9Yi9r3bk7dkvmJGGyQ==,"238,440",#FFD635
2023-07-20 21:36:42.313 UTC,dYf0OLhylpyJ2bIRZK3KnNBcTeD1k7PaCNz6YIsAO8YbNq1ums2M/H9Mnb3EPpwmFTxjvwvhuzNku0DUIu7gSA==,"-387,-76",#000000
2023-07-20 21:36:42.316 UTC,isEEc2LR8CKsCJ1hrbJN72TUbMLqwJZpHBlZIEgtiM3m9lG3nyYVkm+yWU213OfiTz619Vr5AgRGvfCvc0w3Ng==,"101,293",#FF4500
2023-07-20 21:36:42.319 UTC,NKA0Efgv7n4GOhGLdwJgVgfpwKSYgOGNxDrvshPOjAY1Lt6dGmQaQDoRQAsIAa38XSewAEOa0ppZHOBeobhlsQ==,"-356,-78",#000000
2023-07-20 21:36:42.319 UTC,6HNoKpWvFvHzk2vJ0vc4zLEvI4WfuiEWB+oSQRhzhoG1GkjOiYB3Js4Oah6TIxfI6IG8OuBjODd+Z4wQKVC2Kw==,"222,457",#FFA800
2023-07-20 21:36:42.319 UTC,47OPykQNYjbFcPuqAaFxkNsr3goRro6m1+wCH18dwffg9PrX1dcIoSPqwZdkfFMvyb9fNIvqBEOdMk3d7Sbbew==,"488,272",#FFFFFF
2023-07-20 21:36:42.325 UTC,YwlF4GVpMhLox3J0rJdxq9UkDJIY7mgW9/nGhBqveOWGWGNaw9S71Zu8ewy6uukMq4PCltbl4mGBIOQTUEKx0w==,"389,224",#FF4500
2023-07-20 21:36:42.325 UTC,u6842azaMyE/9rI452JQOSU20YSrObiHl/+45SEFfuqNR1WdKFaxUsMDQs1Hd9XdMMD34QoM9UnAb9VMak2iqQ==,"239,484",#000000
2023-07-20 21:36:42.325 UTC,eiIbdq6cfBwGuHq1E9KEVNCuOtNPDAM+M/Z1NW6qNeja6kasMwwxU28oh34XAVKKxP6N2l05doi9K5aHh8RdUQ==,"-298,-393",#000000
2023-07-20 21:36:42.328 UTC,wqebfStmXcTWt6kfStUKjgIUEe3MS2JeyA35p1e+KNV7xTpA7+F40MLhtLEjOvOyVIfTIojnITolL1k9I+gkFA==,"195,461",#FFD635
2023-07-20 21:36:42.328 UTC,jSTRWtsKTmdNW3eqjHB6LiNVxnff0iDdGEU1M8FhXXHd2aSEAiB12RHZwMzvjpxdWS1jd1fb8qbOVl/qsxDqqw==,"184,459",#FFD635
2023-07-20 21:36:42.328 UTC,XkEsK0e9rClaFkR+/Sw0zrmAHNJDEVry4h8wh1YJd+ff8lGh/gJ/wu6qLk1a7z9Un/4by5r79804a+k9jcbrsA==,"466,398",#FFD635
2023-07-20 21:36:42.328 UTC,ZI1XifejNH4KDlOKsoLkyG84rgrM84hmGKKVpmpRJ9Yytf9YHTid4C5BJUKlSpJhruvN2S10UVe4QXeCo/7p0g==,"-321,-406",#FFFFFF
2023-07-20 21:36:42.328 UTC,FGHzDy0A9L3Lso3ZeTKg8sEntCtp9dME+qeIxPWN5DsXIkxhyuoTVpRPzFTMtLfKklwMFKVK3JGD+ZFfWy+Ilg==,"-61,461",#000000
2023-07-20 21:36:42.332 UTC,RnZAhevySwPcNzmRdtB8CiP1Deb6nzNIwIToNgK1pFQ8pN5Bv8GAZRc7o6x25Mrmb6qviAqnRy9V88OPY+mDPg==,"192,452",#FFD635
2023-07-20 21:36:42.332 UTC,0MC9OZKfbzc+Av32yO7kEzJGHHyhB34dm/tnxhAlk349WhI2KXd0EJqJquhQR56M4y1eDs3Wf4RDk9/wnrCx7Q==,"-415,-419",#FFFFFF
2023-07-20 21:36:42.333 UTC,Zw1dxCw5c+Z+UTCQK975PPDDsGs6Ek2bK/8TWSBBdLOs8SFs2zBFXNYJGrHO0jACgiTEFmeOfVr3zvAV/DDzgw==,"191,233",#FF4500
2023-07-20 21:36:42.333 UTC,opcxIAY2BQ1wiidHhaCckW0gVFRVpoxzEQYKRuT9OWZ8Uoe67QUg5D0fB5vyyLEYwipFcxvPi0xF+OcNfEZTxA==,"332,103",#000000
2023-07-20 21:36:42.333 UTC,sxP0XjC5QVOuen7XgxmWm89YgHJS6O6U3eBm70y7ga8RIw4PNNdtDFKRCgAD93QFXc7Z5YbNaeiEVmfSJjb94w==,"-341,163",#FFFFFF
2023-07-20 21:36:42.341 UTC,1aJxXNNOZUDCD04pzQEkvX/RxxMbu7d25BQ55Au5N6DUMywD9iIFoYVVF8lAZnkES4xEG3s+D9Z1xJyWAqEuCA==,"210,-103",#00A368
2023-07-20 21:36:42.345 UTC,mnBTI3GdW1O42h47hTLEGyW+akF8pv0CowgPrq0tQZsrxVFGY933dWzRHQ/KStt/EgqOjQbogE1tAIGnPtrH6g==,"131,268",#FFFFFF
2023-07-20 21:36:42.345 UTC,w7c50KltnJYy09Y8QaXBTlPxyWIH0+pKA0enOsdLO/QqrEWsT/AHnCu3jdz8r39SiQ+Ep06y1kCjaVWvgJqYFA==,"394,-415",#3690EA
2023-07-20 21:36:42.346 UTC,vIEgvd/u9PWMXAsAJVic3jsJmlWEBCbGfgfPdyccHg57l7KDm0C1C7GsN9O3N7/dmmfmBaaJ9HdYCaOYE7kGiA==,"-189,118",#FFFFFF
2023-07-20 21:36:42.346 UTC,50ezkC9GAp9seeWNsfJlIlpxzaP7aXXXtggrK8XDM1tAwM18mQcFXHQETuDruoVgDqxjl1kUu2qvi84S3r1BHg==,"-14,381",#00A368
2023-07-20 21:36:42.346 UTC,Sv8SOj4fNUxSnLzTuLssm7BbpVpdHARSsPWFa4JlQIKuPlD3HQMvl5Cp08b1HnjmoTRtaMQuaJkOjB+FKfWslQ==,"-370,-65",#000000
2023-07-20 21:36:42.354 UTC,48b0CD1oUCcZEP+dgeWpiMkv9QNhkjjeQeasa0GMOtX2HQ78O+f5bw2JfYIPVI2Aw33iaHAzoCBm3J5EKSFr9g==,"326,196",#000000
2023-07-20 21:36:42.354 UTC,t3TWfUC7fRYBCUo9Z+YOZE/Am+KY/PJ7eLe+1siXgmtNDIpJdcaeA7r+pddYP9+WwXhLYxRh8oGc/CArvzUYyw==,"233,450",#FFD635
2023-07-20 21:36:42.366 UTC,19UuFU8IC8err5uWMialCo+Sis4AX8vws5CG9KEpdGumKXZD+RBIVXwYuYIbHbLIg1aF5SLz3Uu5cGXxG3NP/A==,"394,-415",#3690EA
2023-07-20 21:36:42.371 UTC,yrzplFmB7Wrhzwss/Un6Q8x00VxLJToidB/AwzN/Q/LqeYcnS3H+hV1ba9+ALNZ8xSKNjeX3Rg5vzRE9xs2NWQ==,"209,483",#FFD635
2023-07-20 21:36:42.371 UTC,JVaYTa8EEvJPYBB5ZQYwRTtkp77DWkMKnd8NZjRpJZm4mCG7BdSf3j5jYC9sqUVOOz/1OObpAdTyGaWhKeiv7Q==,"314,340",#000000
2023-07-20 21:36:42.386 UTC,wZXwspoJOyrWe/zZtCFR70VjgV/lV/2PP3ZqCynkPVZA1h3INMusZhLxJPk9bNvtFt9IadeO1lva2jusWG1o6g==,"199,441",#FFD635
2023-07-20 21:36:42.402 UTC,FVTlkw9Nto3Vz3mJXMeYEsPoEyZGnFlQsC9IaAhxV821yIfWsbCmxisn9nAU/OGP7J9YPhYDvPYY/rlp6pokog==,"-466,73",#3690EA
2023-07-20 21:36:42.402 UTC,Ru5UsD+yM9Q7xS5Rg+YIVihvLiY6Qc4eASui3NTdvhYqxP8kTLBzrYDdHvJk9CusB3VMqbwpFq/WjYiQAdJLsQ==,"499,-364",#FFFFFF
2023-07-20 21:36:42.423 UTC,FWXNxDRUVGwK+vOVXXnPPNYtEQFhVsZR3oh6noPd6awG00LmM6Zq+Gln6PdYHNuPAdTn51DAl3elDXM2MOhdOg==,"-343,-426",#FF4500
2023-07-20 21:36:42.425 UTC,qS2FIDS8PCy/5d1IsYSDkv7TUl4SC4u094JpeTf1kVx45daJWNaQzQpPBydP6gtPBnDxLlsoSN1u2WlOaxGv9A==,"-398,-74",#FFD635
2023-07-20 21:36:42.434 UTC,l0wPB+S2RPGqbtjtqUPGfJ6/rSItTSFOvHBlRL0VlHw+bvy7gzlRCdll/+41IsY9KJJIC+ufwd2XFFI2Vwwfig==,"-442,189",#FFFFFF
2023-07-20 21:36:42.434 UTC,m1UUnc6yTiWDRS8LcL55aj1WrcjBHHpbZfHeyKjOcijpCXYmWZn9tWQNtFHXi5Se2jUiGnBlRvQO0u0PXF+qqg==,"-484,-363",#3690EA
2023-07-20 21:36:42.434 UTC,Am/iV0DrqPap1mduMLSoK3m8r7IazV0CXppXRJL7cyy55V2IiJsVBjrGx7Wgipq7fc5+aHnuzLCmHcEdDCVD7A==,"-500,-380",#FFA800
2023-07-20 21:36:42.435 UTC,zcfYfyIQMvQGk2rx8fGQ1HlEkxMCFs2C/rFtTrWwJnwO3OtRh8Lrjm50g4k6Hoz4CvOjVx7P8tdoUhjkUHJ5JQ==,"238,451",#FFD635
2023-07-20 21:36:42.438 UTC,s8V9f5NZKHv7mI+9WN/6yViTpnyCVHQGGQrgxtHR16cG6NuSCGb1xhBsqXFMTX0IZ7be0oZQxfPSNCi8HxIX8g==,"249,-41",#FFFFFF
2023-07-20 21:36:42.438 UTC,S3H3kQmZ3/TbCc1t3OpVNNbf0ZPfp6Vt/DeHWr/uO+cKWSGgW0qkXpH8PGfuCM912tBKpXh6hg+volDN4zJ+sg==,"-262,464",#3690EA
2023-07-20 21:36:42.438 UTC,kp5LVKl+yuxcze3SoqL+ka2FMh3d/cieVfbwdSDbvUuKVAjj5jjhQo4FmgKGkFG3dZ/Y8mf5pnNIKmmZkoLCAA==,"345,-245",#FF4500
2023-07-20 21:36:42.439 UTC,DFsq/GR3DUBrlgnGGLkofpZBZ9a9hFCotFJBLFP/pI0Xouskf14fFbxJ5N4y9BESTiH2onBkvK25BRb9IuBQcQ==,"293,-408",#00A368
2023-07-20 21:36:42.441 UTC,3VJSohVjreuLmOJZvCZiXQwnhPb7H82cqVY0S2INOAjTqWWcU1uRPaRVZYoGT2qoztlUW9U93EQSAZoUEHxf8A==,"-433,431",#3690EA
2023-07-20 21:36:42.441 UTC,i7zPoUJr+QA0UluRIccozMrHXWELVXllJwZGUb/Nwx939SROeGvu5XM5McNYyffzSIC3J24yBo+fK4p9ITmE7Q==,"-146,496",#FFA800
2023-07-20 21:36:42.441 UTC,pPyA6GRh9ZhSTUZ2VIcMTLZLTxdoe+tZ9TesVSfUuZc+GI+FZm1cpaxjOU4+uZJQwIRgfvG36AWnWeUAm1ZdDg==,"17,-409",#FFA800
2023-07-20 21:36:42.458 UTC,ZgV/X5xU/wHUgsGiUtnLOVK/MzyO914jhhE8WzBkU/bGWO1TaSjZugjLTIyJHJvHm14b6xoTGe0V9efLeDJKGQ==,"210,471",#FFD635
2023-07-20 21:36:42.458 UTC,IeNwxY2bePDoPz8jSQhgniHGDbBVD2Fqk2iOPL0wSbUVYIBmMLFD1fhttruki6q9jJDZ3J7JxQ8pF5yXEn7/Hg==,"-160,-171",#000000
2023-07-20 21:36:42.477 UTC,FJR6crvBH49IP4eH47l75219BO0GGSlnUTG7SbtYx6PN7ZbnXTCq0y4J0Re2JbPHy8MGVGMrS2lwXkm+hkmHwQ==,"0,239",#FFFFFF
